TaxiID,Lon,Lat,streetMID,disFNode,oneway,pLon,pLat
10214,114.347778,30.511422999999997,836,1160.86484603877,B,114.347149666436,30.5114378803343
10217,114.27207,30.592291999999997,4046,789.624256068613,F,114.272071347331,30.5922943893719
10223,114.252873,30.621978000000002,5734,302.773170207153,F,114.252879081838,30.6219797635554
10239,114.25376999999999,30.590225,4041,130.321218387239,B,114.253280672174,30.5894365822722
10248,114.42576299999999,30.603405,7230,342.374659586121,F,114.425785265693,30.603410378508
10269,114.253423,30.575498,3198,247.575122793334,F,114.253393248773,30.5755912500226
10330,114.30974199999999,30.556625,2390,268.279972767224,F,114.309615489456,30.5563916378573
10334,114.264625,30.472168,154,20.8472194128613,F,114.264581272803,30.4721677012685
10347,114.33266299999998,30.587495,3932,37.6719590330397,F,114.332645837481,30.5875095160445
10363,114.357972,30.581143,3674,25.1516652231956,F,114.358025616715,30.5811057370575
10365,114.25505,30.618000000000002,5600,87.4841386538659,F,114.255064265885,30.6179644913643
10368,114.25511999999999,30.529871999999997,1523,960.13829353605,B,114.255074913257,30.5299044176885
10377,114.245733,30.542298,2009,106.228985531046,B,114.245753594269,30.5422952761981
10383,114.423802,30.613393,7314,365.247634753026,F,114.422956774893,30.613199758066
10384,114.192575,30.542509999999996,7757,310.076824790577,F,114.192567729752,30.5425137624314
10389,114.264817,30.49043,551,79.8274807631681,B,114.264876278776,30.4904916550041
10391,114.18184199999999,30.596768,4551,446.22437664572,B,114.182272580804,30.5973598368985
10399,114.34810700000001,30.537365,1791,928.849521873801,F,114.348105027088,30.5373619885802
10419,114.21890800000001,30.552203000000002,2194,394.519664836787,B,114.219622988006,30.552031667831
10435,114.238672,30.527178000000003,1171,863.465879426259,B,114.237935862365,30.5274380890177
10445,114.30111200000002,30.523217,1455,19.2976729405274,B,114.301086121062,30.523180172363
10448,114.28303500000001,30.634992999999998,6236,44.5634701218119,B,114.283030308344,30.6350027344756
10449,114.28541799999999,30.594777,4174,421.650649704269,F,114.285468058343,30.5947426306466
10450,114.26073500000001,30.558996999999998,2630,18.9010877535461,F,114.260702357593,30.5590068369326
10454,114.203956,30.610478000000004,5196,652.106153445813,F,114.20398212181,30.6106336669899
10458,114.25606299999998,30.532218,1523,702.123099004754,B,114.256791930891,30.5316939548581
10476,114.244252,30.578225,3340,817.35354998938,F,114.244215276997,30.5782752152794
10494,114.253707,30.636007,7473,1200.07269454899,F,114.25374167497,30.6360313425557
10496,114.402969,30.528527,1468,292.892497642974,F,114.402997439545,30.5285526028091
10498,114.397929,30.609782,5227,150.606979662185,F,114.397940054165,30.6097300868128
10500,114.313938,30.516082,1154,80.8419367385144,B,114.313839123751,30.5160515280949
10501,114.27174199999999,30.592271000000004,4045,339.785139075702,F,114.271774477843,30.5923260898777
10502,114.39668400000001,30.506421999999997,809,412.465208234749,B,114.396685177502,30.506423258474
10504,114.203804,30.568662,2873,1170.24972346609,B,114.203743819293,30.5684940154823
10506,114.320329,30.543246999999997,1889,1.99854907881225,B,114.320395106047,30.5432164987134
10507,114.267548,30.621758000000003,5716,559.188463884358,F,114.267639658879,30.6215656421406
